Wall time,Step,Value
1770733466.6859233,706,128.3731689453125
1770733475.411011,707,136.1119842529297
1770733484.81326,708,161.6217041015625
1770733488.5772712,709,97.45751953125
1770733500.276692,710,72.17813873291016
1770733504.7693028,711,118.34346771240234
1770733509.085514,712,65.86332702636719
1770733529.873633,715,176.7819366455078
1770733537.7097466,716,168.18515014648438
1770733556.072914,719,121.12980651855469
1770733561.8318896,720,121.213134765625
1770733588.1165848,722,91.25971221923828
1770733597.8531015,723,92.50618743896484
1770733607.342939,724,93.81554412841797
1770733616.2655773,725,97.8868408203125
1770733624.7981596,726,96.90526580810547
1770733634.155418,727,63.902408599853516
1770733657.068033,730,211.41600036621094
1770733667.2205281,731,124.46922302246094
1770733675.542462,732,174.76748657226562
1770733704.6845777,736,115.92813110351562
1770733710.2753654,737,70.89501190185547
1770733721.1913636,739,140.9110107421875
1770733726.1604307,740,159.1107177734375
1770733740.9404073,741,154.9851837158203
1770733746.3191473,742,79.78942108154297
1770733757.6062324,744,98.69784545898438
1770733770.9112375,747,71.36798095703125
1770733775.9071045,748,84.85350036621094
1770733787.319356,750,60.010009765625
1770733790.81918,751,73.17118835449219
1770733796.1150036,752,72.40027618408203
1770733800.8599803,753,101.263427734375
1770733812.6481047,754,58.490413665771484
1770733815.9061787,755,57.585750579833984
1770733821.964782,756,66.74422454833984
1770733826.1854384,757,57.3830680847168
1770733850.6079926,760,51.554222106933594
1770733874.4166183,761,67.74504089355469
1770733884.2271166,763,85.72933197021484
1770733894.9158344,765,99.92234802246094
1770733903.29471,766,74.57732391357422
1770733910.2551777,767,82.0289535522461
1770733919.145094,768,65.55563354492188
1770733930.5921414,770,90.83476257324219
1770733941.1682136,771,121.81710052490234
1770733947.8261511,772,152.86679077148438
1770733951.8988283,773,88.3816909790039
1770733963.6758976,774,150.27207946777344
1770733973.8863785,775,175.52056884765625
1770733980.3912191,776,132.83932495117188
1770733985.4483137,777,181.05567932128906
1770734019.2178023,780,114.93929290771484
1770734047.6028013,781,169.40042114257812
1770734065.3413985,784,193.34461975097656
1770734075.6804185,785,242.10549926757812
1770734084.5499246,786,128.21145629882812
1770734093.8208623,788,178.20506286621094
1770734103.0947022,790,244.73268127441406
1770734107.101284,791,183.50674438476562
1770734113.7652416,792,184.95645141601562
1770734118.1070948,793,184.78407287597656
1770734123.3248694,794,213.45037841796875
1770734127.4731174,795,175.451416015625
1770734139.4023552,796,168.77796936035156
1770734145.3507895,797,131.95040893554688
1770734156.8203597,799,170.85308837890625
1770734166.9627147,800,155.17950439453125
1770734190.5384095,801,139.7384796142578
1770734200.4124672,803,130.25509643554688
1770734225.216773,806,151.83477783203125
1770734234.296083,807,194.61302185058594
1770734240.5358121,808,93.95211029052734
1770734246.3240824,809,179.68408203125
1770734252.0922854,810,120.14634704589844
1770734266.1355188,812,65.80841827392578
1770734270.8008873,813,106.98340606689453
1770734278.725003,814,139.85223388671875
1770734299.8352065,816,58.30940628051758
1770734305.7440307,817,133.43601989746094
1770734318.50486,819,104.15534973144531
1770734368.6883924,822,140.62545776367188
1770734387.517713,824,79.5728759765625
1770734393.8187041,825,80.5255355834961
1770734405.9043386,826,56.07960891723633
1770734433.7923203,829,141.4182586669922
1770734443.5608664,830,73.8593978881836
1770734461.4262505,832,121.65360260009766
1770734470.4858596,833,162.51670837402344
1770734486.860523,835,121.3876953125
1770734495.266496,836,153.6791534423828
1770734506.4726663,837,85.04069519042969
1770734523.2304356,839,175.65554809570312
1770734532.5666747,840,123.8045883178711
